codmpio,depto2010,mpio2010,codmpio1928,depto1928,mpio1928,match,men1918,women1918,pop1918,houses1928,families1928,men1928,women1928,pop1928,men21_1928,ink
66456,Risaralda,Mistrato,5023,Caldas,Mistrato,1,,,,1164,863,2676,2648,5324,1030,
66088,Risaralda,Belen De Umbria,5024,Caldas,Mocatan (Belen),1,4956,4892,9848,1884,2097,7380,6767,14147,2914,
63470,Quindio,Montenegro,5025,Caldas,Montenegro,1,2773,2492,5265,1304,1564,5862,4229,10091,3020,
17486,Caldas,Neira,5026,Caldas,Neira,1,6754,6474,13228,2485,2840,9738,8797,18535,3853,
,,,5027,Caldas,Nuñez (V. Marquetalia),3,,,,,,,,,,
17513,Caldas,Pacora,5028,Caldas,Pacora,1,6723,6991,13714,2891,2467,7703,7948,15651,2915,
17524,Caldas,Palestina,5029,Caldas,Palestina,1,3124,2584,5708,1010,982,3744,3058,6802,1752,
17541,Caldas,Pensilvania,5030,Caldas,Pensilvania,1,6814,6808,13622,2716,2485,8598,8686,17284,3108,
66001,Risaralda,Pereira,5031,Caldas,Pereira,1,12709,12026,24735,8304,8250,27959,22740,50699,14446,
63548,Quindio,Pijao,5032,Caldas,Pijao (V. Colon),1,,,,1337,1279,4689,3908,8597,1953,
66572,Risaralda,Pueblo Rico,5033,Caldas,Pueblorrico,1,1840,1777,3617,764,627,2035,1791,3826,844,
63594,Quindio,Quimbaya,5034,Caldas,Quimbaya,1,,,,1777,1635,5838,4343,10181,2799,
66594,Risaralda,Quinchia,5035,Caldas,Quinchia (Nazaret),1,3821,3806,7627,2210,1918,5339,5624,10963,1993,
17614,Caldas,Riosucio,5036,Caldas,Riosucio,1,9103,9928,19031,4444,3799,10498,11632,22130,4031,
17616,Caldas,Risaralda,5037,Caldas,Risaralda (San Joaquin),1,3759,3296,7055,1879,1816,5550,4943,10493,2354,
17653,Caldas,Salamina,5038,Caldas,Salamina,1,10149,10177,20326,3746,3400,10613,10929,21542,4177,
63690,Quindio,Salento,5039,Caldas,Salento,1,2375,2053,4428,881,865,3526,2581,6107,1655,
17662,Caldas,Samana,5040,Caldas,Samana (San Agustin),1,4008,3933,7941,1537,1721,5462,5598,11060,2074,
,,,5041,Caldas,San Agustin (V. Samana),3,,,,,,,,,,
,,,5042,Caldas,San Francisco (V. Chinchina),3,,,,,,,,,,
,,,5043,Caldas,San Joaquin (V. Risaralda),3,,,,,,,,,,
66682,Risaralda,Santa Rosa De Cabal,5044,Caldas,Santa Rosa De Cabal,1,10476,10542,21018,4399,4186,15940,14484,30424,6627,
,,,5045,Caldas,Santuario (V. Tatama),3,,,,,,,,,,
17777,Caldas,Supia,5046,Caldas,Supia,1,3094,3353,6447,1536,1367,3954,4079,8033,1549,
66687,Risaralda,Santuario,5047,Caldas,Tatama (Santuario),1,6127,5717,11844,2209,2097,6354,5855,12209,2477,
17867,Caldas,Victoria,5048,Caldas,Victoria,1,2752,2053,4805,559,497,1493,1340,2833,670,
17873,Caldas,Villamaria,5049,Caldas,Villa Maria,1,4303,4137,8440,1514,1561,5425,4951,10376,2342,
19001,Cauca,Popayan,6001,Cauca,Popayan,1,9383,10852,20235,12012,5216,15711,16118,31829,7768,
19022,Cauca,Almaguer,6002,Cauca,Almaguer,1,5188,5590,10778,6448,2556,8220,7906,16126,3470,
19100,Cauca,Bolivar,6003,Cauca,Bolivar,1,9178,9540,18718,7549,4183,13320,13057,26377,6146,
19110,Cauca,Buenos Aires,6004,Cauca,Buenos Aires,1,2662,3111,5773,2208,1267,3575,3760,7335,1640,
19130,Cauca,Cajibio,6005,Cauca,Cajibio,1,3714,3837,7551,3089,1827,5390,5453,10843,2168,
19137,Cauca,Caldono,6006,Cauca,Caldono,1,3323,3149,6472,1765,1547,4282,4436,8718,1909,
19142,Cauca,Caloto,6007,Cauca,Caloto,1,4377,4620,8997,4528,2056,5928,6158,12086,2644,
